10,10,10,10,DeltamapZ,DeltamapZ,DeltamapZ,DeltamapZ,cMapZ,cMapZ,cMapZ,cMapZ
Experiment_1,Experiment_2,Experiment_3,Experiment_4,Experiment_1,Experiment_2,Experiment_3,Experiment_4,Experiment_1,Experiment_2,Experiment_3,Experiment_4
0.52798647,0.56308829,0.50406892,0.55770593,0.58959288,0.5999362,0.55312434,0.6037424,0.53440202,0.49418384,0.52790588,0.49101748
0.52615815,0.55887782,0.50995341,0.49073221,0.60803337,0.73472453,0.61776714,0.49746275,0.58081244,0.54352833,0.56735959,0.52185817
0.50575022,0.63937859,0.60402556,0.54639293,0.53897308,0.70056907,0.63319344,0.72676931,0.57888686,0.54354291,0.5532808,0.63602277
0.50882045,0.60892206,0.55983705,0.52207404,0.50908778,0.73280414,0.7082991,0.80680815,0.6417939,0.53256964,0.49749486,0.52792887
0.53350861,0.69937785,0.51680979,0.52820331,0.55492178,0.74416238,0.56590028,0.52929257,0.59048825,0.56194586,0.54168115,0.48356672
0.53195944,0.53716503,0.53255573,0.53305037,0.84029387,0.71994939,0.59194561,0.66983398,0.61547932,0.60817487,0.55307501,0.47870564
0.59024342,0.63389254,0.53028479,0.51520655,0.61602866,0.46966049,0.69630578,0.60159621,0.65692984,0.54606921,0.57242681,0.53203819
0.52267043,0.57337377,0.51818283,0.51527732,0.59769582,0.52462605,0.73539357,0.50173365,0.59489295,0.58248497,0.6322141,0.54652307
0.55433067,0.58822848,0.55319651,0.52595558,0.54976573,0.48900411,0.61376085,0.66879452,0.61275296,0.60548639,0.5334383,0.50509777
0.58031051,0.58875033,0.5276639,0.54583396,0.71840892,0.42272439,0.57023985,0.6512181,0.58506229,0.51388128,0.61875674,0.56748196
0.52222516,0.42524108,0.50430072,0.52867291,0.73863231,0.5125787,0.67356901,0.65486379,0.52613286,0.51371632,0.50920548,0.54973428
0.57984426,0.4895821,0.54121448,0.53620979,0.67498777,0.4830094,0.84928895,0.61814378,0.61958324,0.54297687,0.55215595,0.59127405
0.52473645,0.36085689,0.54175062,0.53679982,0.52472088,0.49451287,0.4550153,0.63031126,0.77808606,0.55845343,0.56085559,0.56502647
0.58451684,0.36693965,0.49725075,0.52907948,0.65857399,0.48225914,0.45719531,0.65469585,0.57970879,0.61093689,0.59613713,0.5595124
0.70407691,0.4570954,0.55019504,0.50507602,0.62873842,0.50484341,0.66968127,0.62211332,0.73198909,0.52692386,0.57853564,0.57391828
0.55120122,0.55687607,0.52385231,0.48878896,0.64685647,0.49437123,0.58654541,0.69771891,0.63220772,0.58597811,0.5433434,0.59278338
0.55783173,0.44607632,0.48625296,0.51295615,0.77922889,0.48546285,0.52460405,0.77346468,0.60649989,0.60756325,0.61068224,0.57558189
0.6196146,0.44391955,0.50153521,0.52616341,0.68785191,0.51644617,0.54058366,0.70552143,0.77905695,0.58919075,0.5698118,0.5500928
0.62217802,0.51742617,0.59228311,0.61791671,0.67529178,0.53710843,0.72132835,0.64704026,0.62403835,0.5907189,0.59628847,0.62803122
0.57342925,0.4871341,0.50499542,0.5397034,0.70063553,0.4896385,0.54988966,0.59324633,0.60545165,0.61752346,0.65152431,0.57068393
